title,authors,year,openalex_id,doi,url,abstract_text,keywords,category
"Prevalence of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2014","Jon Baio, Lisa D. Wiggins, Deborah Christensen, Matthew J. Maenner, Julie L. Daniels, Zachary Warren, Margaret Kurzius‐Spencer, Walter Zahorodny, Cordelia Robinson, Rosenberg, Tiffany White, Maureen S. Durkin, Pamela Imm, Loizos Nikolaou, Marshalyn Yeargin‐Allsopp, Li‐Ching Lee, Rebecca Harrington, Maya Lopez, Robert T. Fitzgerald, Amy Hewitt, Sydney Pettygrove, John N. Constantino, Alison Vehorn, Josephine Shenouda, Jennifer Hall‐Lande, Kim Linh Van, Naarden, Браун, Nicole F. Dowling",2018,https://openalex.org/W2614349964,https://doi.org/10.15585/mmwr.ss6706a1,https://doi.org/10.15585/mmwr.ss6706a1,"Beginning with surveillance year 2016, the DSM-5 case definition will serve as the basis for ADDM estimates of ASD prevalence in future surveillance reports. Although the DSM-IV-TR case definition will eventually be phased out, it will be applied in a limited geographic area to offer additional data for comparison. Future analyses will examine trends in the continued use of DSM-IV-TR diagnoses, such as autistic disorder, PDD-NOS, and Asperger disorder in health and education records, documentation of symptoms consistent with DSM-5 terminology, and how these trends might influence estimates of ASD prevalence over time. The latest findings from the ADDM Network provide evidence that the prevalence of ASD is higher than previously reported estimates and continues to vary among certain racial/ethnic groups and communities. With prevalence of ASD ranging from 13.1 to 29.3 per 1,000 children aged 8 years in different communities throughout the United States, the need for behavioral, educational, residential, and occupational services remains high, as does the need for increased research on both genetic and nongenetic risk factors for ASD.","asperger, prevalence, asd, autistic, disorder",General / Other
"Prevalence of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2016","Matthew J. Maenner, Kelly Shaw, Jon Baio, Anita Washington, Mary Patrick, Monica DiRienzo, Deborah Christensen, Lisa D. Wiggins, Sydney Pettygrove, Jennifer Andrews, Maya Lopez, Allison Hudson, Thaer Baroud, Yvette D. Schwenk, Tiffany White, Cordelia Robinson Rosenberg, Li‐Ching Lee, Rebecca A. Harrington, Margaret Huston, Amy Hewitt, Amy Esler, Jennifer Hall‐Lande, Jenny N. Poynter, Libby Hallas-Muchow, John N. Constantino, Robert T. Fitzgerald, Walter Zahorodny, Josephine Shenouda, Julie L. Daniels, Zachary Warren, Alison Vehorn, Angelica Salinas, Maureen S. Durkin, Patricia M. Dietz",2020,https://openalex.org/W3027179734,https://doi.org/10.15585/mmwr.ss6904a1,https://doi.org/10.15585/mmwr.ss6904a1,These findings highlight the variability in the evaluation and detection of ASD across communities and between sociodemographic groups. Continued efforts are needed for early and equitable identification of ASD and timely enrollment in services.,"asd, enrollment, findings, sociodemographic, services",Neurological Functioning
Adult outcome for children with autism,"Patricia Howlin, Susan Goode, Jane Hutton, Michael Rutter",2004,https://openalex.org/W2046265374,https://doi.org/10.1111/j.1469-7610.2004.00215.x,https://doi.org/10.1111/j.1469-7610.2004.00215.x,"Background: Information on long‐term prognosis in autism is limited. Outcome is known to be poor for those with an IQ below 50, but there have been few systematic studies of individuals with an IQ above this. Method: Sixty‐eight individuals meeting criteria for autism and with a performance IQ of 50 or above in childhood were followed up as adults. Their mean age when first seen was 7 years (range 3–15 years); at follow‐up the average age was 29 years (range 21–48 years). Outcome measures included standardised cognitive, language and attainment tests. Information on social, communication and behavioural problems was obtained from the Autism Diagnostic Interview (ADI). Results: Although a minority of adults had achieved relatively high levels of independence, most remained very dependent on their families or other support services. Few lived alone, had close friends, or permanent employment. Communication generally was impaired, and reading and spelling abilities were poor. Stereotyped behaviours or interests frequently persisted into adulthood. Ten individuals had developed epilepsy. Overall, only 12% were rated as having a ‘Very Good’ outcome; 10% were rated as ‘Good’ and 19% as ‘Fair’. The majority was rated as having a ‘Poor’ (46%) or ‘Very Poor’ (12%) outcome. Individuals with a childhood performance IQ of at least 70 had a significantly better outcome than those with an IQ below this. However, within the normal IQ range outcome was very variable and, on an individual level, neither verbal nor performance IQ proved to be consistent prognostic indicators. Conclusions: Although outcome for adults with autism has improved over recent years, many remain highly dependent on others for support. This study provides some information on prognostic indicators, but more fine‐grained research is needed into the childhood variables that are associated with good or poor outcome.","autism, iq, impaired, age, epilepsy",General / Other
Educating Children with Autism,Catherine Lord,2001,https://openalex.org/W3039158033,,https://www.amazon.com/Educating-Children-Autism-BCYF-Anniversary/dp/0309210011,(no abstract found: try through the website),(no keywords found),General / Other
Identification and Evaluation of Children With Autism Spectrum Disorders,"Chris Plauché Johnson, Scott M. Myers",2007,https://openalex.org/W2145914632,https://doi.org/10.1542/peds.2007-2361,https://doi.org/10.1542/peds.2007-2361,"Autism spectrum disorders are not rare; many primary care pediatricians care for several children with autism spectrum disorders. Pediatricians play an important role in early recognition of autism spectrum disorders, because they usually are the first point of contact for parents. Parents are now much more aware of the early signs of autism spectrum disorders because of frequent coverage in the media; if their child demonstrates any of the published signs, they will most likely raise their concerns to their child's pediatrician. It is important that pediatricians be able to recognize the signs and symptoms of autism spectrum disorders and have a strategy for assessing them systematically. Pediatricians also must be aware of local resources that can assist in making a definitive diagnosis of, and in managing, autism spectrum disorders. The pediatrician must be familiar with developmental, educational, and community resources as well as medical subspecialty clinics. This clinical report is 1 of 2 documents that replace the original American Academy of Pediatrics policy statement and technical report published in 2001. This report addresses background information, including definition, history, epidemiology, diagnostic criteria, early signs, neuropathologic aspects, and etiologic possibilities in autism spectrum disorders. In addition, this report provides an algorithm to help the pediatrician develop a strategy for early identification of children with autism spectrum disorders. The accompanying clinical report addresses the management of children with autism spectrum disorders and follows this report on page 1162 [available at www.pediatrics.org/cgi/content/full/120/5/1162]. Both clinical reports are complemented by the toolkit titled “Autism: Caring for Children With Autism Spectrum Disorders: A Resource Toolkit for Clinicians,” which contains screening and surveillance tools, practical forms, tables, and parent handouts to assist the pediatrician in the identification, evaluation, and management of autism spectrum disorders in children.","autism, pediatrics, pediatricians, pediatrician, diagnosis",Social & Emotional Development
"Psychiatric Disorders in Children With Autism Spectrum Disorders: Prevalence, Comorbidity, and Associated Factors in a Population-Derived Sample","Emily Simonoff, Andrew Pickles, Tony Charman, Susie Chandler, Tom Loucas, Gillian Baird",2008,https://openalex.org/W2158063953,https://doi.org/10.1097/chi.0b013e318179964f,https://doi.org/10.1097/chi.0b013e318179964f,(no abstract found: try through the website),"Comorbidity, Psychiatry, Attention deficit hyperactivity disorder, Anxiety, Population, Autism, Autism spectrum disorder, Cohort, Conduct disorder, Prevalence of mental disorders, Psychology, Medicine, Clinical psychology, Internal medicine, Environmental health","Neurological Functioning, Social & Emotional Development"
Prevalence of disorders of the autism spectrum in a population cohort of children in South Thames: the Special Needs and Autism Project (SNAP),"Gillian Baird, Emily Simonoff, Andrew Pickles, Susie Chandler, Tom Loucas, David Meldrum, Tony Charman",2006,https://openalex.org/W2151524361,https://doi.org/10.1016/s0140-6736(06)69041-7,https://doi.org/10.1016/s0140-6736(06)69041-7,(no abstract found: try through the website),"Autism, Medicine, Cohort, Population, Pediatrics, Incidence (geometry), Autism spectrum disorder, Medical diagnosis, Prevalence, Psychiatry, Environmental health, Pathology, Optics, Physics",Social & Emotional Development
Risperidone in Children with Autism and Serious Behavioral Problems,"James T. McCracken, James J. McGough, Bhavik Shah, Pegeen Cronin, Daniel Hong, Michael G. Aman, L. Eugene Arnold, Ronald L. Lindsay, Patricia Nash, Jill A. Hollway, Christopher J. McDougle, David J. Posey, Naomi B. Swiezy, Arlene E. Kohn, Lawrence David Scahill, Andrés Martin, Kathleen Koenig, Fred R. Volkmar, Deirdre Carroll, Allison Lancor, Elaine Tierney, Jaswinder K. Ghuman, Nilda M. Gonzalez, Marco A. Grados, Benedetto Vitiello, Louise Ritz, Mark Davies, James Robinson, Don McMahon",2002,https://openalex.org/W1968430210,https://doi.org/10.1056/nejmoa013171,https://doi.org/10.1056/nejmoa013171,"Risperidone was effective and well tolerated for the treatment of tantrums, aggression, or self-injurious behavior in children with autistic disorder. The short period of this trial limits inferences about adverse effects such as tardive dyskinesia.","risperidone, autistic, tantrums, dyskinesia, treatment",General / Other
Anxiety in children and adolescents with autism spectrum disorders,"Susan W. White, Donald P. Oswald, Thomas H. Ollendick, Lawrence David Scahill",2009,https://openalex.org/W2128556176,https://doi.org/10.1016/j.cpr.2009.01.003,https://doi.org/10.1016/j.cpr.2009.01.003,(no abstract found: try through the website),"Anxiety, Autism, Psychology, Autism spectrum disorder, Clinical psychology, Psychosocial, Asperger syndrome, Intervention (counseling), Psychiatry","Neurological Functioning, Social & Emotional Development"
EDUCATING CHILDREN WITH AUTISM,,2002,https://openalex.org/W3112286043,https://doi.org/10.4324/9780203019665-12,https://doi.org/10.4324/9780203019665-12,(no abstract found: try through the website),"Autism, Psychology, Developmental psychology",General / Other
